"Date","Price","Open","High","Low","Vol.","Change %"
"Apr 15, 2017","49.71000","48.50000","50.48000","47.95000","94.94K","2.49"
"Apr 14, 2017","48.50000","50.65000","50.65000","47.34000","112.71K","-4.24"
"Apr 13, 2017","50.65000","46.85000","51.51000","46.85000","148.82K","8.11"
"Apr 12, 2017","46.85000","44.21000","48.47000","43.84000","153.49K","5.97"
"Apr 11, 2017","44.21000","44.17000","44.80000","43.80000","32.39K","0.09"
"Apr 10, 2017","44.17000","43.94000","44.76000","43.01000","62.32K","0.52"
"Apr 09, 2017","43.94000","44.51000","44.86000","43.18000","50.66K","-1.28"
"Apr 08, 2017","44.51000","42.25000","45.76000","42.25000","103.95K","5.35"
"Apr 07, 2017","42.25000","43.11000","44.53000","41.78000","79.29K","-1.99"
"Apr 06, 2017","43.11000","45.35000","46.03000","41.25000","185.55K","-4.94"
"Apr 05, 2017","45.35000","44.41000","47.53000","44.19000","161.26K","2.12"
"Apr 04, 2017","44.41000","44.28000","45.69000","41.05000","217.96K","0.29"
"Apr 03, 2017","44.28000","48.60000","48.60000","42.77000","334.41K","-8.89"
"Apr 02, 2017","48.60000","50.59000","51.59000","47.70000","224.17K","-3.93"
"Apr 01, 2017","50.59000","49.72000","51.87000","48.70000","110.41K","1.75"
"Mar 31, 2017","49.72000","51.62000","51.83000","46.82000","224.20K","-3.68"
"Mar 30, 2017","51.62000","52.88000","53.28000","50.75000","106.85K","-2.38"
"Mar 29, 2017","52.88000","50.16000","54.30000","49.40000","195.81K","5.42"
"Mar 28, 2017","50.16000","48.93000","50.60000","47.95000","129.69K","2.51"
"Mar 27, 2017","48.93000","50.46000","52.01000","47.67000","111.39K","-3.03"
"Mar 26, 2017","50.46000","50.75000","51.80000","46.55000","132.00K","-0.57"
"Mar 25, 2017","50.75000","54.01000","54.90000","47.46000","327.30K","-6.04"
"Mar 24, 2017","54.01000","43.14000","58.99000","42.50000","467.53K","25.20"
"Mar 23, 2017","43.14000","41.46000","44.75000","40.22000","149.61K","4.05"
"Mar 22, 2017","41.46000","42.45000","42.95000","38.51000","139.58K","-2.33"
"Mar 21, 2017","42.45000","42.06000","43.70000","41.15000","132.27K","0.93"
"Mar 20, 2017","42.06000","43.17000","45.13000","39.47000","250.00K","-2.57"
"Mar 19, 2017","43.17000","34.20000","45.69000","34.10000","482.75K","26.23"
